"","date","nox","no","no2","h2s","pm10","co","so2","o3","hcnm","hct","wd","ws"
"123",2009-09-20 00:00:00,NA,2,32,1,NA,0.2,1,50,NA,NA,136.250795181111,2.41666666666667
"124",2009-09-21 00:00:00,NA,8,63,1,NA,0.2,1,10,NA,NA,328.585427633696,1.81666666666667
"125",2009-09-22 00:00:00,NA,7,65,3,NA,0.7,1,11,NA,NA,48.4998936090076,2.59583333333333
"126",2009-09-23 00:00:00,NA,29,78,1.9,NA,0.2,1,2,NA,NA,111.849902671952,2.33333333333333
"127",2009-09-24 00:00:00,NA,9,86,1.1,NA,0.2,1,7,NA,NA,246.744542290944,2.35625
"128",2009-09-25 00:00:00,NA,26,100,1.7,NA,0.2,2,6,NA,NA,173.235720343466,2.1
"129",2009-09-26 00:00:00,NA,3,60,1,NA,0.2,1,23,NA,NA,188.49531780159,2.0375
"130",2009-09-27 00:00:00,NA,27,81,1.7,NA,0.2,1,2,NA,NA,97.6730827719453,2.32291666666667
"131",2009-09-28 00:00:00,NA,67,101,1.2,NA,0.2,2,1,NA,NA,60.9948232484519,2
"132",2009-09-29 00:00:00,NA,17,89,1.1,NA,0.2,1,4,NA,NA,114.472292988036,2.0875
"133",2009-09-30 00:00:00,NA,37,61,5.7,NA,0.2,1,1,NA,NA,325.850614861049,1.56875
"134",2009-10-07 00:00:00,127,36,74,2.1,NA,0.2,1,2,NA,NA,168.742220015494,1.85625
"135",2009-10-08 00:00:00,133,33,83,3.3,NA,0.7,1,1,NA,NA,281.264869950601,2.14583333333333
"136",2009-10-09 00:00:00,77,19,49,1.1,NA,0.2,1,18,NA,NA,155.275597767752,2.3
"137",2009-10-10 00:00:00,68,10,53,2.2,NA,0.2,1,12,NA,NA,138.718647474395,1.66875
"138",2009-10-11 00:00:00,99,28,57,1.2,NA,0.2,1,2,NA,NA,305.032673734576,1.91875
"139",2009-10-12 00:00:00,102,26,63,1.1,NA,0.2,1,1,NA,NA,19.2849683508666,2.13333333333333
"140",2009-10-13 00:00:00,118,37,62,2,NA,0.2,1,2,NA,NA,293.1290625109,2.63125
"141",2009-10-14 00:00:00,102,24,65,1.4,NA,0.4,1,14,NA,NA,183.562551968393,2.06875
"142",2009-10-15 00:00:00,62,9,50,1,NA,0.5,1,23,NA,NA,151.520329159545,2.88333333333333
"143",2009-10-16 00:00:00,166,61,73,1.5,NA,0.8,1,2,NA,NA,318.438849705175,2.05208333333333
"144",2009-10-17 00:00:00,75,11,58,1.3,NA,0.9,1,4,NA,NA,281.688763416935,2.06875
"145",2009-10-18 00:00:00,52,4,47,1,NA,0.2,1,16,NA,NA,264.999062144658,1.95416666666667
"146",2009-10-19 00:00:00,146,59,56,1.7,NA,0.2,1,2,NA,NA,338.70680128952,1.43541666666667
"147",2009-10-20 00:00:00,114,25,77,1,NA,0.3,1,8,NA,NA,165.423587659092,2.75208333333333
"148",2009-10-21 00:00:00,134,56,49,1,NA,0.2,1,1,NA,NA,313.597584842639,2.43333333333333
"149",2009-10-22 00:00:00,15,1,13,1,NA,0.2,1,53,NA,NA,323.478461467163,2.42083333333333
"150",2009-10-23 00:00:00,140,58,51,1.1,NA,0.2,1,3,NA,NA,314.499402468784,2.28958333333333
"151",2009-10-24 00:00:00,92,34,39,1,NA,0.2,1,2,NA,NA,276.007700039608,1.53958333333333
"152",2009-10-25 00:00:00,133,63,37,1,NA,0.3,1,1,NA,NA,339.535563557677,1.32826086956522
"153",2009-10-25 23:00:00,171,84,43,1.1,NA,0.7,1,1,NA,NA,156.423469326962,1.59375
"154",2009-10-26 23:00:00,156,74,43,1,NA,0.4,2,2,NA,NA,208.295655646859,1.67291666666667
"155",2009-10-27 23:00:00,80,16,56,1,NA,0.2,1,14,NA,NA,210.610003430856,1.59166666666667
"156",2009-10-28 23:00:00,128,51,51,1,NA,0.2,1,2,NA,NA,305.430595579468,2.17083333333333
"157",2009-10-29 23:00:00,76,23,41,1.1,NA,0.2,1,3,NA,NA,143.623571599224,1.83958333333333
"158",2009-10-30 23:00:00,271,125,81,1.3,NA,0.6,2,3,NA,NA,250.652779854812,1.17708333333333
"159",2009-10-31 23:00:00,109,43,44,1.1,NA,0.4,1,1,NA,NA,308.593977738024,1.82708333333333
"160",2009-11-01 23:00:00,17,1,16,1,NA,0.2,1,81,NA,NA,309.970290756752,3.31666666666667
"161",2009-11-02 23:00:00,29,3,25,1,NA,0.2,1,43,NA,NA,308.715879779298,5.11875
"162",2009-11-03 23:00:00,81,20,51,1,NA,0.4,1,27,NA,NA,303.179909118221,3.41875
"163",2009-11-04 23:00:00,21,2,18,1,NA,0.3,1,61,NA,NA,305.43035755399,4.22708333333333
"164",2009-11-05 23:00:00,82,17,57,1,NA,0.2,1,10,NA,NA,323.851879750501,1.95625
"165",2009-11-06 23:00:00,294,144,74,3,NA,0.6,4,5,NA,NA,311.123331276733,3.34583333333333
"166",2009-11-07 23:00:00,20,2,17,1,NA,0.2,1,49,NA,NA,311.795637204598,6.41458333333333
"167",2009-11-08 23:00:00,22,3,18,1,NA,0.3,1,56,NA,NA,323.564658102964,2.75
"168",2009-11-09 23:00:00,116,35,62,1,NA,0.6,1,6,NA,NA,324.020377352076,1.75833333333333
"169",2009-11-10 23:00:00,317,149,89,2.4,NA,1,6,5,NA,NA,335.330483092114,1.50208333333333
"170",2009-11-11 23:00:00,408,204,97,3.7,NA,0.4,9,6,NA,NA,315.211319131,1.375
"171",2009-11-12 23:00:00,187,85,57,1.6,NA,0.2,4,2,NA,NA,315.066188015829,1.49375
"172",2009-11-13 23:00:00,243,112,73,1.1,NA,0.3,5,2,NA,NA,331.639366464412,1.13958333333333
"173",2009-11-14 23:00:00,136,49,60,1,NA,0.2,2,2,NA,NA,336.512352105513,1.975
"174",2009-11-15 23:00:00,141,50,65,1.3,NA,0.2,3,1,NA,NA,320.921766728932,1.8625
"175",2009-11-16 23:00:00,166,67,65,1.7,NA,0.2,5,2,NA,NA,344.012848268829,1.50208333333333
"176",2009-11-17 23:00:00,334,173,69,2.7,NA,0.6,7,3,NA,NA,341.951733816304,1.77083333333333
"177",2009-11-18 23:00:00,223,108,58,1.4,NA,0.4,5,2,NA,NA,358.479909779853,1.41458333333333
"178",2009-11-19 23:00:00,137,49,63,1.9,NA,3.1,4,3,NA,NA,331.659204351876,1.51041666666667
"179",2009-11-20 23:00:00,209,96,63,1.2,NA,0.5,5,2,NA,NA,323.207510113295,1.5625
"180",2009-11-21 23:00:00,147,57,59,1.1,NA,0.4,3,2,NA,NA,318.982100089514,2.09583333333333
"181",2009-11-22 23:00:00,77,15,54,1,NA,0.2,1,13,NA,NA,315.546125882496,2.04375
"182",2009-11-23 23:00:00,214,100,62,8.7,NA,0.8,5,2,NA,NA,318.335909528611,1.77916666666667
"183",2009-11-24 23:00:00,203,94,59,3.6,NA,0.2,5,2,NA,NA,306.379441675287,2.08333333333333
"184",2009-11-25 23:00:00,148,54,66,1.3,NA,NA,4,2,NA,NA,324.630854336087,1.46458333333333
