date;c6h6;co;no;no2;nox;o3;so2
2013-03-14;;0,26;5,88;35,92;;49,25;2,21
2013-03-15;;0,32;13,54;40,46;;46,92;2,63
2013-03-16;;0,37;12,08;34,42;;44,71;3,04
2013-03-17;;0,32;2,83;25,38;;58,88;1,96
2013-03-18;;0,26;3,25;24,44;;51,38;1,63
2013-03-19;;0,38;16,07;38,57;;51,6;3,29
2013-03-20;;0,37;23,38;48,43;;31,77;2,14
2013-03-21;;0,33;26,0;42,38;;36,0;2,79
2013-03-22;;0,34;28,58;49,33;;36,13;2,42
2013-03-23;;0,35;11,25;35,21;;45,46;2,0
2013-03-24;;0,33;4,38;30,96;;45,88;2,13
2013-03-25;;0,32;9,0;31,17;;42,79;1,79
2013-03-26;;0,33;4,88;22,54;;51,54;1,75
2013-03-27;;0,3;3,21;25,71;;55,46;2,0
2013-03-28;;0,32;9,46;28,04;;49,38;1,96
2013-03-29;;0,34;4,46;24,92;;40,83;1,63
2013-03-30;;0,31;1,29;14,79;;61,79;1,21
2013-03-31;;0,31;1,48;15,26;;65,52;2,04
2013-04-01;;0,38;2,38;23,79;;47,92;1,71
2013-04-02;;0,38;19,68;31,14;;46,17;2,14
2013-04-03;;0,41;17,83;40,96;;39,46;2,88
2013-04-04;;0,48;14,26;38,09;;46,43;2,3
2013-04-05;;0,51;8,54;52,67;;33,92;2,08
2013-04-06;;0,49;1,96;21,75;;65,63;2,08
2013-04-07;;0,52;2,67;22,79;;58,13;2,83
2013-04-08;;0,55;22,38;36,63;;47,08;3,46
2013-04-09;;0,5;22,46;38,92;;43,58;3,21
2013-04-10;;0,48;20,46;39,96;;54,08;3,29
2013-04-11;;0,44;14,71;39,13;;47,25;2,75
2013-04-12;;0,45;18,83;34,04;;55,88;2,5
2013-04-13;;0,47;14,04;34,96;;50,79;3,67
2013-04-14;;0,5;7,79;42,88;;40,0;4,33
2013-04-15;;0,49;19,27;50,05;;39,55;4,9
2013-04-16;;0,54;50,88;46,79;;37,63;4,46
2013-04-17;;0,51;35,79;49,71;;42,96;4,13
2013-04-18;;0,53;25,46;44,79;;42,92;4,92
2013-04-19;;0,54;30,54;44,0;;32,71;3,33
2013-04-20;;0,5;4,38;29,29;;55,04;2,42
2013-04-21;;0,5;2,83;22,04;;63,29;2,46
2013-04-22;;0,38;28,88;37,0;;51,42;3,21
2013-04-23;;0,25;12,17;42,46;;51,25;4,29
2013-04-24;;0,27;26,13;40,96;;55,25;4,33
