date;no;no2;nox
2013-08-02;5,13;25,75;33,54
2013-08-03;3,17;30,92;35,83
2013-08-04;1,79;22,13;24,83
2013-08-05;4,38;30,25;36,96
2013-08-06;2,13;20,58;23,67
2013-08-07;2,75;21,21;25,46
2013-08-08;1,67;13,96;16,13
2013-08-09;2,13;14,58;17,46
2013-08-10;1,54;9,21;11,25
2013-08-11;3,04;11,25;15,79
2013-08-12;2,21;11,58;15,08
2013-08-13;2,71;10,17;14,42
2013-08-14;1,64;10,48;12,0
2013-08-15;1,17;12,79;14,0
2013-08-16;1,83;13,5;16,0
2013-08-17;1,33;19,79;21,21
2013-08-18;1,21;13,33;14,54
2013-08-19;2,29;19,88;22,71
2013-08-20;2,0;12,92;15,42
2013-08-21;2,46;19,33;22,42
2013-08-22;1,88;13,46;15,58
2013-08-23;2,17;21,29;24,13
2013-08-24;1,58;17,96;19,54
2013-08-25;1,42;13,46;15,08
2013-08-26;2,25;23,54;26,5
2013-08-27;6,48;31,0;40,48
2013-08-28;2,83;29,83;34,04
2013-08-29;3,21;36,08;40,92
2013-08-30;2,92;28,42;32,46
2013-08-31;1,63;19,83;21,71
2013-09-01;1,79;17,04;19,04
2013-09-02;2,96;31,88;35,79
2013-09-03;4,79;33,75;40,67
2013-09-04;2,21;22,96;25,83
2013-09-05;6,04;31,79;40,5
2013-09-06;2,88;22,13;25,92
2013-09-07;1,83;25,17;27,54
2013-09-08;2,42;24,54;27,92
2013-09-09;3,5;25,58;30,63
2013-09-10;6,71;34,29;44,17
2013-09-11;1,46;14,17;16,0
2013-09-12;3,33;39,19;44,0
2013-09-13;4,75;37,58;44,21
2013-09-14;2,17;24,71;27,58
2013-09-15;1,75;16,96;19,08
2013-09-16;4,25;27,58;33,96
2013-09-17;3,42;25,58;30,5
2013-09-18;6,29;30,17;39,08
2013-09-19;4,71;28,21;35,0
2013-09-20;5,71;30,63;38,83
2013-09-21;8,08;33,33;45,17
2013-09-22;2,96;31,13;35,58
2013-09-23;5,29;33,0;40,63
2013-09-24;2,25;20,0;22,88
2013-09-25;3,75;24,13;29,33
2013-09-26;4,58;26,96;33,5
2013-09-27;17,73;45,45;71,86
2013-09-28;4,58;27,71;34,38
2013-09-29;1,75;15,21;17,46
2013-09-30;5,38;31,92;39,67
2013-10-01;10,63;46,42;62,42
2013-10-02;7,5;40,08;51,42
2013-10-03;4,0;22,33;28,17
2013-10-04;4,79;33,83;40,92
2013-10-05;2,58;21,71;25,29
2013-10-06;2,63;20,08;23,63
2013-10-07;4,17;23,17;29,04
2013-10-08;6,42;29,92;39,25
2013-10-09;3,76;29,62;35,1
2013-10-10;6,13;34,96;44,08
2013-10-11;4,75;32,0;38,79
2013-10-12;3,33;28,83;33,88
2013-10-13;3,08;30,83;35,46
2013-10-14;17,5;46,25;73,04
2013-10-15;25,71;50,92;90,0
2013-10-16;13,0;44,42;63,67
2013-10-17;8,5;41,46;54,54
2013-10-18;22,21;42,79;76,58
2013-10-19;11,17;37,92;54,63
2013-10-20;5,33;31,46;39,54
2013-10-21;15,71;34,96;58,88
2013-10-22;10,0;34,25;49,38
2013-10-23;8,5;35,79;48,54
2013-10-24;21,35;47,87;80,48
2013-10-25;10,58;40,29;56,33
2013-10-26;3,25;27,21;32,29
2013-10-27;2,29;23,17;26,63
2013-10-28;14,54;43,21;65,46
2013-10-29;18,88;49,33;77,75
2013-10-30;23,08;51,63;86,67
2013-10-31;19,21;50,42;79,88
2013-11-01;2,88;28,63;33,0
2013-11-02;4,92;37,5;44,63
2013-11-03;10,33;33,46;49,0
2013-11-04;5,54;22,67;31,13
2013-11-05;11,58;29,58;46,88
2013-11-06;27,33;44,92;86,5
2013-11-07;41,86;60,04;124,91
2013-11-08;19,83;38,67;68,63
2013-11-09;4,79;27,88;35,13
2013-11-10;4,04;20,67;26,5
2013-11-11;12,17;46,88;65,38
2013-11-12;27,75;59,29;101,29
2013-11-13;10,13;41,75;57,08
2013-11-14;8,96;30,83;44,46
2013-11-15;5,67;33,83;42,38
2013-11-16;3,75;26,58;32,08
2013-11-17;3,88;31,33;37,17
2013-11-18;7,88;42,46;54,04
2013-11-19;14,5;38,0;60,08
2013-11-20;7,83;33,33;45,21
2013-11-21;4,38;19,04;25,46
2013-11-22;6,73;29,41;39,36
2013-11-23;10,08;38,79;53,75
2013-11-24;18,67;34,92;63,13
2013-11-25;10,83;36,0;52,54
2013-11-26;10,0;40,58;55,88
2013-11-27;8,21;37,13;49,58
2013-11-28;19,63;50,17;79,96
2013-11-29;16,04;51,29;75,79
2013-11-30;9,83;40,54;55,58
2013-12-01;7,54;37,33;48,71
2013-12-02;11,33;38,17;55,5
2013-12-03;24,63;63,38;100,92
2013-12-04;59,65;71,04;162,22
2013-12-05;8,25;38,21;50,5
2013-12-06;3,42;21,79;26,96
2013-12-07;39,83;58,63;119,5
2013-12-08;27,54;52,29;94,08
2013-12-09;25,08;56,04;94,38
2013-12-10;48,63;71,46;145,54
2013-12-11;34,38;71,21;123,67
2013-12-12;80,75;80,96;204,0
2013-12-13;45,71;61,58;131,17
2013-12-14;37,67;58,46;115,71
2013-12-15;14,46;49,83;71,83
2013-12-16;6,5;46,13;55,75
2013-12-17;19,14;65,32;94,5
2013-12-18;51,0;66,25;143,79
2013-12-19;29,83;59,71;104,88
2013-12-20;60,29;59,0;151,08
2013-12-21;38,63;53,33;112,25
2013-12-22;43,29;57,25;123,21
2013-12-23;19,79;54,88;84,96
2013-12-24;31,29;50,0;97,5
2013-12-25;4,42;26,0;32,54
2013-12-26;2,17;10,79;13,92
2013-12-27;30,88;52,29;99,25
2013-12-28;55,42;42,13;126,75
2013-12-29;6,13;26,42;35,67
2013-12-30;7,25;36,5;47,88
2013-12-31;25,0;55,75;93,83
2014-01-01;9,75;38,79;53,29
2014-01-02;68,33;75,46;179,83
2014-01-03;66,92;66,21;168,46
2014-01-04;11,96;38,71;56,75
2014-01-05;3,67;14,33;19,79
