date;no;no2;nox;so2
2012-09-15;6,96;38,58;48,71;4,08
2012-09-16;3,04;30,33;34,67;1,58
2012-09-17;20,54;36,42;67,75;1,92
2012-09-18;22,46;37,75;71,71;1,63
2012-09-19;7,92;34,08;45,75;1,58
2012-09-20;21,63;40,04;72,58;1,58
2012-09-21;29,54;35,67;80,63;2,46
2012-09-22;12,0;27,17;45,25;2,0
2012-09-23;3,88;27,04;32,58;1,33
2012-09-24;3,67;19,67;24,92;1,0
2012-09-25;9,79;44,54;59,21;1,92
2012-09-26;27,29;50,79;92,17;2,63
2012-09-27;16,04;40,75;64,79;2,46
2012-09-28;21,71;51,46;84,25;3,54
2012-09-29;2,46;29,38;32,92;1,88
2012-09-30;2,67;19,08;22,67;1,42
2012-10-01;9,95;41,18;56,0;2,38
2012-10-02;23,04;46,42;81,29;2,71
2012-10-03;19,79;47,0;77,17;3,42
2012-10-04;24,75;40,96;78,46;2,5
2012-10-05;24,21;34,58;71,17;2,96
2012-10-06;13,92;27,58;48,63;2,42
2012-10-07;4,46;26,04;32,5;2,25
2012-10-08;19,33;35,46;64,71;2,63
2012-10-09;31,13;36,92;83,83;2,71
2012-10-10;23,77;32,32;68,41;2,17
2012-10-11;33,67;49,08;100,25;1,88
2012-10-12;15,75;25,71;49,42;1,63
2012-10-13;9,71;33,04;47,54;1,71
2012-10-14;7,83;29,33;40,79;2,38
2012-10-15;11,38;35,71;52,67;1,67
2012-10-16;22,17;51,08;84,58;2,67
2012-10-17;26,63;46,96;87,17;3,63
2012-10-18;4,46;36,96;43,42;1,33
2012-10-19;16,71;49,42;74,58;2,33
2012-10-20;3,54;23,67;28,83;1,79
2012-10-21;1,38;11,08;12,67;1,17
2012-10-22;19,38;44,67;73,75;1,75
2012-10-23;28,23;38,86;81,77;2,48
2012-10-24;35,71;42,63;96,83;2,58
2012-10-25;43,71;60,5;126,96;3,71
2012-10-26;24,92;48,0;85,83;1,67
2012-10-27;3,92;25,17;31,04;1,13
