date;pm10
2016-07-24;36,14
2016-07-25;34,92
2016-07-26;34,2
2016-07-27;34,45
2016-07-28;28,77
2016-07-29;38,0
2016-08-03;28,3
2016-08-04;25,14
2016-08-05;27,33
2016-08-06;22,69
2016-08-07;26,35
2016-08-08;22,79
2016-08-09;21,08
2016-08-10;26,44
2016-08-11;31,96
2016-08-12;33,45
2016-08-13;27,73
2016-08-14;26,21
2016-08-15;16,0
2016-08-16;28,5
2016-08-17;33,81
2016-08-18;33,1
2016-08-19;36,91
2016-08-20;38,19
2016-08-21;22,26
2016-08-22;36,2
2016-08-23;27,61
2016-08-24;30,42
2016-08-25;22,45
2016-08-26;25,83
2016-08-27;24,67
2016-08-28;23,0
2016-08-29;30,54
2016-08-30;26,29
2016-08-31;31,21
2016-09-01;27,57
2016-09-02;31,54
2016-09-03;30,88
2016-09-04;29,64
2016-09-05;35,96
2016-09-06;35,55
2016-09-07;25,73
2016-09-08;29,13
2016-09-09;32,25
2016-09-10;27,67
2016-09-11;26,76
2016-09-12;32,24
2016-09-13;38,88
2016-09-14;29,93
2016-09-15;25,62
2016-09-16;23,18
2016-09-17;18,6
2016-09-22;30,67
2016-09-23;37,88
2016-09-24;27,52
2016-09-25;20,31
2016-09-26;21,05
2016-09-27;26,57
2016-09-28;32,73
2016-09-29;33,71
2016-09-30;28,17
2016-10-01;29,0
2016-10-02;33,29
2016-10-03;41,5
2016-10-04;47,35
2016-10-05;35,58
2016-10-06;22,61
2016-10-07;27,85
2016-10-08;36,83
2016-10-09;22,96
2016-10-10;29,17
2016-10-11;28,13
2016-10-12;23,29
2016-10-13;24,17
2016-10-14;16,75
2016-10-15;22,04
2016-10-16;18,96
2016-10-17;27,25
2016-10-18;33,82
2016-10-21;34,0
2016-10-22;20,58
2016-10-23;26,42
2016-10-24;37,92
2016-10-25;53,92
2016-10-26;66,63
2016-10-27;63,71
2016-10-28;42,04
2016-10-29;40,5
2016-10-30;45,46
2016-10-31;45,04
2016-11-01;29,1
2016-11-02;38,57
2016-11-03;47,67
2016-11-04;51,75
2016-11-05;43,0
2016-11-08;29,3
2016-11-09;26,39
2016-11-10;29,76
2016-11-11;35,33
2016-11-12;23,47
2016-11-13;33,06
2016-11-14;26,83
2016-11-15;51,44
2016-11-16;38,18
2016-11-17;44,86
2016-11-18;58,0
