date;co;no;no2;nox;o3;pm10;pm2.5;so2
2012-10-20;0,45;1,42;19,21;21,04;41,29;;;
2012-10-21;0,4;1,17;15,5;17,0;60,08;;;
2012-10-22;0,25;6,86;35,27;45,32;39,59;;;1,0
2012-10-23;0,72;15,95;51,14;75,05;29,71;;;2,09
2012-10-24;0,96;11,17;38,58;55,0;38,75;;;3,17
2012-10-25;1,29;16,79;54,88;80,04;18,2;;;3,42
2012-10-26;0,27;11,0;33,17;49,63;39,13;;;1,79
2012-10-27;0,2;2,0;13,0;15,63;51,42;;;1,38
2012-10-28;0,2;1,08;8,75;9,96;69,5;;;1,0
2012-10-29;0,2;6,33;28,42;37,63;53,42;;;2,46
2012-10-30;0,2;11,63;47,04;64,46;31,08;;;2,13
2012-10-31;0,23;4,63;26,83;33,38;56,29;;;1,88
2012-11-01;0,21;2,67;20,13;23,71;57,38;;;1,79
2012-11-02;0,2;2,46;17,79;21,04;60,21;;;1,58
2012-11-03;0,28;12,75;35,96;54,83;47,42;;;2,08
2012-11-04;0,27;4,33;27,71;33,75;41,21;;;1,63
2012-11-05;0,2;3,33;20,0;24,67;53,33;;;2,04
2012-11-06;0,2;6,25;31,25;40,29;32,17;;;2,92
2012-11-07;0,32;22,55;47,23;81,36;22,0;;;2,14
2012-11-08;0,29;15,5;51,63;74,58;30,25;;;3,17
2012-11-09;0,45;54,5;69,88;152,79;21,08;;;3,04
2012-11-10;0,39;3,88;23,54;28,54;46,0;;;5,42
2012-11-11;0,2;2,71;22,54;26,13;41,58;;;3,63
2012-11-12;0,2;4,63;23,38;29,96;35,29;;;2,54
2012-11-13;0,2;4,96;23,46;30,5;49,5;;;1,13
2012-11-14;0,35;3,08;18,5;22,63;49,92;;;2,29
2012-11-15;0,23;8,63;36,96;49,63;38,54;;;3,67
2012-11-16;0,34;18,42;47,71;75,46;27,75;;;2,08
2012-11-17;0,41;12,92;44,67;64,08;29,5;;;3,5
2012-11-18;0,2;1,54;13,71;15,67;60,96;;;2,71
2012-11-19;0,2;4,58;19,17;25,58;38,38;;;2,63
2012-11-20;0,23;17,75;36,5;63,33;22,63;;;3,92
2012-11-21;0,38;36,83;56,29;112,42;17,17;;;2,17
2012-11-22;0,23;14,5;42,04;63,71;21,0;;;5,0
2012-11-23;0,3;12,41;46,95;65,55;29,95;;;4,7
2012-11-24;0,3;10,17;34,75;49,75;49,0;;;3,88
2012-11-25;0,34;3,79;38,83;44,04;39,63;;;3,08
2012-11-26;0,2;4,75;26,63;33,29;55,79;;;2,21
2012-11-27;0,2;5,79;31,71;40,13;33,67;;;1,46
2012-11-28;0,2;3,33;24,08;28,67;39,96;;;1,13
2012-11-29;0,23;6,0;27,46;36,13;39,54;;;1,58
2012-11-30;0,22;6,25;32,54;41,71;44,17;;;3,33
2012-12-01;0,2;3,79;23,13;28,25;39,04;;;4,38
2012-12-02;0,2;1,96;12,88;15,21;54,08;;;4,33
2012-12-03;0,23;16,75;33,25;58,38;39,33;;;4,25
2012-12-04;0,2;3,35;18,13;22,65;54,87;;;3,83
2012-12-05;0,2;3,0;20,83;24,88;54,58;;;1,83
2012-12-06;0,2;3,08;23,21;27,33;50,96;;;5,79
2012-12-07;0,28;9,86;27,5;42,95;46,14;;;2,46
2012-12-08;0,23;5,46;28,38;36,63;51,96;;;3,21
2012-12-09;0,2;2,25;18,08;20,96;50,63;;;3,88
2012-12-10;0,45;11,75;38,13;55,63;36,58;;;1,83
2012-12-11;0,23;21,0;50,58;82,33;21,92;;;2,92
2012-12-12;0,38;46,04;68,33;138,29;13,63;;;2,13
2012-12-13;0,22;13,21;44,5;64,29;31,04;;;3,0
2012-12-14;0,33;18,71;41,08;69,38;36,63;;;7,96
2012-12-15;0,3;1,46;13,96;15,54;67,58;;;2,08
2012-12-16;0,2;1,42;12,88;14,33;65,63;;;1,38
2012-12-17;0,29;3,0;20,13;24,21;54,0;;;4,13
2012-12-18;0,21;10,83;37,67;53,63;36,5;;;4,79
2012-12-19;0,42;38,71;56,88;115,5;17,79;;;4,54
2012-12-20;0,26;8,05;30,38;43,82;29,73;;;4,77
2012-12-21;0,27;13,58;31,67;52,04;38,71;;;3,38
2012-12-22;0,23;7,5;32,08;43,04;37,54;;;5,13
2012-12-23;0,23;11,92;26,08;44,13;34,71;;;4,13
2012-12-24;0,27;39,88;41,04;101,88;20,88;;;1,46
2012-12-25;0,32;5,71;27,42;35,75;27,0;;;1,21
2012-12-26;0,28;7,54;20,38;31,21;33,46;;;2,21
